miRNA	disease	label	score
hsa-mir-1909	Abortion, Habitual	0	8.498726e-06
hsa-mir-1293	Abortion, Habitual	0	1.156221e-05
hsa-mir-1228	Abortion, Habitual	0	5.189613e-06
hsa-mir-449c	Abortion, Habitual	0	5.189613e-06
hsa-mir-518f	Abortion, Habitual	0	5.189613e-06
hsa-mir-524	Abortion, Habitual	0	5.189613e-06
hsa-mir-551a	Abortion, Habitual	0	5.189613e-06
hsa-mir-570	Abortion, Habitual	0	5.189613e-06
hsa-mir-577	Abortion, Habitual	0	5.189613e-06
hsa-mir-591	Abortion, Habitual	0	5.189613e-06
hsa-mir-595	Abortion, Habitual	0	5.189613e-06
hsa-mir-605	Abortion, Habitual	0	5.189613e-06
hsa-mir-610	Abortion, Habitual	0	5.189613e-06
hsa-mir-938	Abortion, Habitual	0	5.189613e-06
hsa-mir-189	Abortion, Habitual	0	1.709810e-05
hsa-mir-3179	Abortion, Habitual	0	8.338707e-06
hsa-mir-550b	Abortion, Habitual	0	8.338707e-06
hsa-mir-1227	Abortion, Habitual	0	5.720648e-06
hsa-mir-1229	Abortion, Habitual	0	5.720648e-06
hsa-mir-944	Abortion, Habitual	0	5.720648e-06
hsa-mir-518a	Abortion, Habitual	0	6.101781e-06
